table,index,offset,raw,object_key,frame_id,flags,mask_class,inference
Filter/mask table A,0,0x0176CA,0x07AC0000,0x07AC,0x1EB,0x00000,0x000403FF,CAN encoded value plus mask/class word
Filter/mask table A,1,0x0176D2,0x07B00000,0x07B0,0x1EC,0x00000,0x000403FF,CAN encoded value plus mask/class word
Filter/mask table A,2,0x0176DA,0x07B40000,0x07B4,0x1ED,0x00000,0x000403FF,CAN encoded value plus mask/class word
Filter/mask table A,3,0x0176E2,0x07B80000,0x07B8,0x1EE,0x00000,0x000403FF,CAN encoded value plus mask/class word
Filter/mask table A,4,0x0176EA,0x07A00000,0x07A0,0x1E8,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,5,0x0176F2,0x07A20000,0x07A2,0x1E8,0x20000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,6,0x0176FA,0x07C00000,0x07C0,0x1F0,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,7,0x017702,0x07C20000,0x07C2,0x1F0,0x20000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,8,0x01770A,0x07C40000,0x07C4,0x1F1,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,9,0x017712,0x07C60000,0x07C6,0x1F1,0x20000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table A,10,0x01771A,0x07A40000,0x07A4,0x1E9,0x00000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table A,11,0x017722,0x07A50000,0x07A5,0x1E9,0x10000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table A,12,0x01772A,0x07A60000,0x07A6,0x1E9,0x20000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table B,0,0x025D12,0x07A60000,0x07A6,0x1E9,0x20000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table B,1,0x025D1A,0x07A70000,0x07A7,0x1E9,0x30000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table B,2,0x025D22,0x07A90000,0x07A9,0x1EA,0x10000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table B,3,0x025D2A,0x07D80000,0x07D8,0x1F6,0x00000,0x000103FF,CAN encoded value plus mask/class word
Filter/mask table B,4,0x025D32,0x062C0000,0x062C,0x18B,0x00000,0x000403FF,CAN encoded value plus mask/class word
Filter/mask table B,5,0x025D3A,0x06280000,0x0628,0x18A,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table B,6,0x025D42,0x07C00000,0x07C0,0x1F0,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table B,7,0x025D4A,0x07C20000,0x07C2,0x1F0,0x20000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table B,8,0x025D52,0x07C40000,0x07C4,0x1F1,0x00000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table B,9,0x025D5A,0x07C60000,0x07C6,0x1F1,0x20000,0x000203FF,CAN encoded value plus mask/class word
Filter/mask table B,10,0x025D62,0x06100000,0x0610,0x184,0x00000,0x001003FF,CAN encoded value plus mask/class word
